Date Range,GDP
"Dec. 31, 2018",20.90T
"Nov. 30, 2018",20.84T
"Oct. 31, 2018",20.80T
"Sept. 30, 2018",20.69T
"Aug. 31, 2018",20.65T
"July 31, 2018",20.64T
"June 30, 2018",20.50T
"May 31, 2018",20.46T
"April 30, 2018",20.28T
"March 31, 2018",20.08T
"Feb. 28, 2018",20.05T
"Jan. 31, 2018",19.99T
"Dec. 31, 2017",19.92T
"Nov. 30, 2017",19.87T
"Oct. 31, 2017",19.71T
"Sept. 30, 2017",19.69T
"Aug. 31, 2017",19.59T
"July 31, 2017",19.48T
"June 30, 2017",19.48T
"May 31, 2017",19.38T
"April 30, 2017",19.21T
"March 31, 2017",19.27T
"Feb. 28, 2017",19.13T
"Jan. 31, 2017",19.09T